Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-36.86 -26.56 -16.26 -7.96 4.84 15.24 18.84 16.14 7.24 -7.06 -22.36 -35.36
-38.56 -32.96 -21.56 -9.36 3.74 15.24 18.14 13.84 8.44 -7.16 -23.66 -36.56
-34.46 -28.66 -17.16 -8.76 4.24 14.04 20.94 14.64 6.04 -6.56 -20.96 -39.86
-30.86 -35.06 -17.96 -5.96 4.84 12.44 17.14 13.64 6.44 -8.66 -16.66 -31.06
-28.06 -33.06 -18.06 -8.16 3.24 14.14 19.34 14.14 6.04 -6.56 -23.16 -34.26
-41.16 -34.06 -17.76 -5.46 5.34 16.14 19.24 17.24 7.44 -3.96 -25.56 -32.46
-39.36 -33.26 -18.76 -4.56 5.04 13.64 16.84 14.94 6.94 -5.66 -24.66 -36.56
-39.26 -31.46 -21.46 -7.46 5.04 16.64 21.84 14.14 9.04 -3.76 -29.46 -37.26
-41.66 -34.46 -21.96 -8.66 4.74 13.44 18.84 15.34 5.34 -5.66 -32.16 -34.66
-36.86 -32.36 -20.26 -7.46 4.44 14.94 20.54 15.34 6.24 -5.76 -31.06 -39.96
-39.26 -32.66 -21.66 -5.96 5.34 13.74 17.44 15.94 5.04 -2.76 -22.66 -37.36
-35.26 -34.46 -23.16 -7.06 4.64 15.64 19.04 13.14 5.54 -9.66 -24.46 -36.06
-36.76 -36.76 -19.26 -9.86 4.04 14.94 18.04 13.54 6.84 -6.96 -25.96 -33.16
-34.26 -28.16 -24.06 -6.36 4.44 16.04 20.34 15.64 7.94 -5.66 -32.16 -32.16
-44.36 -35.66 -22.06 -8.36 4.94 13.74 18.24 11.64 4.94 -7.66 -22.26 -38.06
-36.86 -34.46 -18.46 -8.56 4.54 13.94 18.94 15.24 4.74 -3.96 -22.36 -40.66
-34.96 -28.36 -19.06 -7.76 5.44 14.74 17.94 13.94 6.44 -7.36 -29.16 -36.26
-33.86 -33.06 -17.06 -7.76 5.94 14.84 18.14 14.34 6.44 -6.16 -30.56 -38.96
