"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
5.08 8.28 5.68 19.68 9.78 28.08 56.08 32.58 22.28 17.98 7.48 8.38
9.58 6.08 5.98 11.28 11.98 30.48 52.78 43.88 24.58 13.78 9.08 6.78
5.58 3.38 5.28 5.88 9.98 21.28 33.58 36.58 13.88 9.68 7.18 9.28
5.18 5.38 5.78 8.18 6.88 18.98 25.88 25.18 15.98 14.28 6.78 10.28
3.68 8.98 4.18 10.88 8.88 30.78 20.18 32.48 28.88 11.28 7.78 7.48
3.34 3.54 3.34 6.94 11.64 21.64 56.24 34.44 18.64 9.54 9.84 2.94
6.94 3.24 2.64 8.14 12.94 19.54 42.84 20.44 30.14 13.54 5.94 12.74
8.74 6.84 6.04 8.14 5.94 27.04 38.54 28.04 27.54 14.04 9.54 8.74
7.94 8.74 4.54 5.34 15.44 25.74 29.14 51.94 24.44 10.84 6.24 9.14
5.34 3.94 5.54 9.34 6.84 24.04 21.44 17.74 16.94 14.74 9.04 4.44
9.04 8.64 8.34 4.84 11.04 33.04 42.44 36.44 27.44 19.44 24.94 13.84
6.84 5.54 8.74 6.84 13.64 30.34 11.24 15.84 21.44 13.54 15.34 4.94
8.24 9.44 6.44 7.44 9.84 15.74 45.24 45.04 11.54 16.84 4.64 11.44
15.94 6.24 1.84 13.64 3.34 29.54 28.84 26.74 34.54 8.94 2.34 9.14
4.94 2.64 9.64 6.94 9.64 43.74 37.74 46.74 16.64 12.34 10.64 16.24
5.04 3.84 10.24 2.34 14.44 39.84 25.04 17.64 20.74 11.84 5.44 8.44
7.64 4.74 3.34 11.44 9.14 13.64 22.54 27.44 19.24 22.14 7.24 10.24
19.84 10.14 0.14 7.24 11.44 38.64 26.44 26.74 36.04 8.04 6.54 10.04
3.94 5.34 1.34 5.24 12.24 23.04 46.54 35.64 13.94 15.64 7.34 5.24
6.84 5.14 3.14 6.94 3.44 17.84 52.74 23.14 12.14 14.34 16.64 9.24
6.63 3.83 3.53 8.23 12.33 15.63 17.43 37.83 12.83 14.03 7.13 3.43
10.13 7.93 6.23 8.53 7.43 20.13 22.53 22.63 12.73 10.13 7.83 6.93
4.73 4.13 6.43 8.33 11.73 26.23 50.93 33.83 17.33 12.73 6.83 7.43
5.93 5.63 9.33 8.33 10.73 19.63 41.23 43.03 14.73 13.33 8.33 9.43
8.23 7.23 6.23 8.23 11.23 26.23 38.23 35.23 21.23 14.23 9.23 10.23
4.73 7.23 6.23 4.73 11.23 26.23 38.23 35.23 21.23 14.23 9.23 10.23
8.23 7.23 6.23 8.23 11.23 26.23 38.23 35.23 21.23 14.23 9.23 10.23
8.23 7.23 6.23 8.23 11.23 26.23 38.23 35.23 21.23 14.23 9.23 10.23
8.23 7.23 6.23 8.23 11.23 26.23 38.23 35.23 21.23 14.23 9.23 10.23
8.23 7.23 6.23 8.23 11.23 26.23 38.23 35.23 34.73 7.43 3.93 7.83
5.53 3.93 6.63 4.33 7.33 29.83 18.93 36.13 27.43 9.03 8.83 4.63
8.53 5.03 3.33 5.03 8.33 27.63 75.63 36.43 18.13 8.03 7.43 7.33
5.13 6.03 3.93 3.33 6.43 38.33 38.83 27.43 23.83 17.83 5.43 6.23
5.83 6.43 5.33 7.73 8.83 30.83 42.63 37.53 15.53 10.13 4.83 7.93
8.73 5.33 7.83 4.33 11.03 32.43 23.43 29.13 27.13 11.93 5.63 5.93
3.36 3.56 3.36 6.96 11.66 21.66 56.26 34.46 18.66 9.56 9.86 2.96
6.96 3.26 2.66 8.16 12.96 19.56 42.86 20.46 30.16 13.56 5.96 12.76
8.76 6.86 6.06 8.16 5.96 27.06 38.56 28.06 27.56 14.06 9.56 8.76
7.96 8.76 4.56 5.36 15.46 25.76 29.16 51.96 24.46 10.86 6.26 9.16
5.36 3.96 5.56 9.36 6.86 24.06 21.46 17.76 16.96 14.76 9.06 4.46
9.06 8.66 8.36 4.86 11.06 33.06 42.46 36.46 27.46 19.46 24.96 13.86
6.86 5.56 8.76 6.86 13.66 30.36 11.26 15.86 21.46 13.56 15.36 4.96
8.26 9.46 6.46 7.46 9.86 15.76 45.26 45.06 11.56 16.86 4.66 11.46
15.96 6.26 1.86 13.66 3.36 29.56 28.86 26.76 34.56 8.96 2.36 9.16
4.96 2.66 9.66 6.96 9.66 43.76 37.76 46.76 16.66 12.36 10.66 16.26
5.06 3.86 10.26 2.36 14.46 39.86 25.06 17.66 20.76 11.86 5.46 8.46
7.66 4.76 3.36 11.46 9.16 13.66 22.56 27.46 19.26 22.16 7.26 10.26
19.86 10.16 0.16 7.26 11.46 38.66 26.46 26.76 36.06 8.06 6.56 10.06
3.96 5.36 1.36 5.26 12.26 23.06 46.56 35.66 13.96 15.66 7.36 5.26
6.86 5.16 3.16 6.96 3.46 17.86 52.76 23.16 12.16 14.36 16.66 9.26
5.71 3.91 5.01 2.61 5.51 22.81 37.61 52.01 23.81 6.71 8.81 4.01
3.41 9.31 5.11 7.61 14.01 38.51 39.11 23.31 15.21 13.31 3.11 7.31
5.81 4.91 5.01 7.41 13.01 20.51 42.51 28.21 25.21 16.31 7.01 7.21
5.71 6.31 6.31 7.21 7.01 26.41 40.51 46.71 9.01 13.31 5.91 11.81
7.51 5.21 4.41 6.11 8.31 26.71 45.31 27.11 16.11 15.91 4.51 6.11
6.41 6.21 4.71 6.31 5.31 32.81 43.01 23.91 21.31 12.91 8.31 8.21
5.01 6.01 4.91 4.31 2.41 26.41 53.51 48.41 12.11 7.61 6.01 8.71
4.41 4.31 8.21 7.41 7.11 53.71 16.41 49.61 22.71 12.91 4.71 9.31
9.61 4.01 7.31 9.71 6.71 34.31 81.61 29.41 28.31 6.81 6.81 11.01
11.81 4.21 2.81 5.51 13.31 29.31 33.91 50.21 20.41 12.41 9.21 9.31
